kappa,outcome,sw_end_t,sw_end_x,univ_point_t,univ_point_x,err_sw_t,err_sw_x,err_univ
40.0,1.21830991959471,10.54886669413885,0.8286900608672568,168.85810083941882,0.6256419451689951,-6.0121286174147e-08,4.328907460730911e-09,1.6016354908998665e-13
39.0,1.19555284365587,10.683683994678436,0.8260543248866231,168.7430156482066,0.6246369195944442,-3.854639779829445e-08,-1.158698786370969e-07,-3.4333647036532966e-14
38.0,1.17231533970650,10.82879391230902,0.8233181092770274,168.5637453398894,0.6246978983176598,2.5033436054747475e-11,6.760010771467442e-12,-4.4825254619240695e-15
37.0,1.14858373825862,10.990957742684694,0.8204650147399615,168.39123771482537,0.6243794046972754,2.3667436902542738e-11,6.105045285038834e-12,-5.4539706084710815e-15
36.0,1.12434151998729,11.170536720160936,0.8174912898114485,168.19926307659875,0.6241694987690143,-3.080115984721533e-11,-8.003579887212886e-12,-2.7200464103316335e-15
35.0,1.09957189942296,11.369255726929108,0.8143935643226405,167.98482470335742,0.6240706682531213,1.0323873595336494e-11,3.4088904681005874e-12,1.817990202823694e-15
34.0,1.07525432211468,11.646763882949239,0.8111507670737081,168.74817475659518,0.6064412339087962,-1.0955824379374003e-07,-4.227556368701908e-06,1.4030443473700416e-14
33.0,1.04838043557034,11.840713248508287,0.8077601428309316,167.46992254698478,0.6243453873545012,-8.512972248711369e-08,1.1222643920637645e-08,1.675048988403205e-13
32.0,1.02204162810980,12.141616383741612,0.8042083466046905,167.57581131238672,0.6187593162606615,-1.1750609389972317e-07,-1.3945167425883964e-06,-1.059853593776694e-12
31.0,0.994860902373472,12.440908486497472,0.8004816021479482,166.8247294435924,0.6250764916500813,-7.642151075404579e-08,-2.2248683553283686e-08,-4.061750935591135e-13
30.0,0.967176721828679,12.805821075024319,0.7965641431154157,166.41618752127383,0.6258943144827539,-7.93650799910494e-12,-1.0400103067538004e-11,-1.1879386363489175e-14
29.0,0.938846205636885,13.228267290355886,0.7924369112857267,165.95207460734588,0.6268323064186148,6.300486516014708e-12,1.4548160192311416e-12,-1.6464607455191071e-13
28.0,0.909961451227854,13.750682474369487,0.7880666506344893,165.96491505743197,0.6224484453117071,-1.611385573988454e-07,-1.2951866182319831e-06,-8.849865285043279e-14
27.0,0.880144854648069,14.316517318143456,0.7834571226955017,164.75964544173985,0.6294615479222578,-5.062902184190238e-10,-1.1351720078552562e-10,-5.88418203051333e-15
26.0,0.850746164630921,15.13734501412831,0.7785412411721478,165.8967148662665,0.6144764786270984,-3.511256385455146e-07,-3.824451536219015e-06,-5.106887135397642e-13
25.0,0.818539564261673,15.94329497517983,0.7733161810256998,162.79598971181855,0.6343208951191113,-2.504466324547876e-07,2.423391437643299e-07,7.755740494275187e-13
24.0,0.786562459251903,17.151410019891436,0.7677338956970385,161.7647431991494,0.6353809658904722,-1.8908837700895718e-07,-6.431068535270713e-08,1.1111736530899918e-12
23.0,0.753778497370821,18.86758486473405,0.7617394537372182,160.33563421993946,0.6370274645896189,-2.9450746184155906e-07,-3.2030196205374705e-07,1.664640647547344e-14
22.0,0.720323546879363,21.51708756046854,0.7552806259245285,150.41662529672737,0.6477727348766092,-3.2359675619298756e-07,1.4940032768724762e-06,1.9950707752514063e-13
21.0,0.685647776001531,29.40909841772352,0.7482965762986229,149.09720796349652,0.6452164101403847,6.378566416968506e-11,1.2989940941956176e-11,-2.7221280785028057e-13
20.0,0.699147789491120,57.839907470183775,0.7407829447488266,151.08601574114692,0.7361556182297648,-5.9736486836465915e-06,3.06493196843222e-05,-4.4229502532897036e-05
40.0,1.21830991959471,10.54886669413885,0.8286900608672568,168.85810083941882,0.6256419451689951,-6.0121286174147e-08,4.328907460730911e-09,1.6016354908998665e-13
40.0,1.21831533374661,10.55236026322317,0.8286901096457623,168.92225439511293,0.6243056158484195,-5.6698653323331914e-08,-3.160487846324566e-07,1.5187850976872141e-13
42.0,1.26244846224659,10.316288776707694,0.8336779397962517,169.10015704822183,0.626856723780019,9.183125044892257e-12,6.789488774312448e-13,-9.306444503920375e-14
44.0,1.30484817159485,10.12219341020334,0.8383201316044596,169.29905092898423,0.628317450673735,-9.049809283974665e-09,-6.327111122863009e-09,1.4452328223057975e-13
46.0,1.34562093203551,9.959214754667318,0.8426585345188768,169.45989916559566,0.6300615990786517,-3.5497021646198484e-08,6.029670209478741e-09,-2.3660240433542867e-13
48.0,1.38490636155198,9.830541061784887,0.8467210839352035,169.72327927715511,0.6285397971325544,-3.073521905549673e-07,-7.98089583616934e-07,-1.310340724813841e-13
50.0,1.42270856830754,9.707427393571859,0.8505533349755244,169.70446458808115,0.6338958041900662,-1.9374080506966766e-07,9.820817627821578e-10,2.493838469064258e-13
52.0,1.45922508757519,9.608802513115554,0.8541713800207739,169.76297875384887,0.636845476588782,-6.167865956247706e-08,1.9905344405392002e-07,1.0436096431476471e-14
54.0,1.49451414952571,9.533245016276817,0.8575913683193491,169.91499622629786,0.6368008170282146,-1.4429484548695043e-07,-3.2667098807260934e-07,-1.4001994008694396e-13
56.0,1.52865318586201,9.46278599765249,0.8608416496503124,169.92247994861907,0.6405039182694915,-9.337843922592471e-08,7.893857377487448e-09,-5.571931804837504e-15
58.0,1.56173802530003,9.407532523971998,0.8639359161339182,169.96838218351994,0.642804400838647,-3.736200938459149e-08,-1.61902406933779e-10,-9.341138973439911e-14
60.0,1.59383999195095,9.362475905496114,0.866889002377346,170.00196013485086,0.6451905205161177,-1.208427045359733e-12,-3.5288058075266345e-13,9.39352762241441e-14
62.0,1.62503064296849,9.326633687502204,0.8697122313269088,170.02572607668716,0.6476208714021148,-4.984697544629295e-12,-3.0410543972494802e-12,1.0044742815296104e-13
64.0,1.65537652107058,9.298725076881208,0.8724195419884214,170.04092498529852,0.6500860420482144,-3.9050355830905215e-12,-1.1510113210511677e-12,2.6680047060523293e-14
66.0,1.68493935886710,9.278035029689166,0.8750197187830956,170.04842285316607,0.6525840411298236,7.572257250621156e-13,2.187669567229889e-13,2.0334428585400133e-14
68.0,1.71377612260325,9.263795131062848,0.8775223211488032,170.0513911919121,0.6550345830671757,-3.802313489475495e-08,-1.6039660734668747e-08,-2.437217094808375e-12
70.0,1.74193937973113,9.254804001357195,0.8799363701306165,170.04397031614403,0.6576474242024948,-7.485371207725674e-08,-6.548888171255826e-10,-1.2437273433363316e-13
72.0,1.76947752930556,9.25075483300141,0.8822692585150896,170.030430957134,0.6603027181644271,-9.6728156046732e-08,1.9784598535271922e-08,7.147060721024445e-14
74.0,1.79643483919013,9.251706894744283,0.8845277047563473,170.0182900937212,0.6627644716753077,-8.345844580756783e-08,-5.541818936529667e-09,-5.645484080218921e-14
76.0,1.82286560715702,9.250751661696944,0.886717032760934,169.92787862338378,0.6677160633180442,-6.014408395690185e-08,5.007884836085222e-07,5.478950626525148e-13
78.0,1.84876608137754,9.26484675381305,0.8888421548279672,169.97511606959742,0.6679278982225698,-3.338797238210753e-08,-1.171580238439686e-08,-1.9133306050633792e-13
80.0,1.87421069059813,9.27640797255648,0.890906673386717,169.9457221979205,0.6705936641104169,-3.437627804410391e-08,-2.496497263134042e-10,5.941080960525369e-14
